SubCategoryID,CategoryID,Name
67907.0,6724,Gối hình thú
67908.0,6724,Gối lông vũ
67909.0,6724,Gối tơ tằm
23376.0,6723,Nệm
23388.0,6723,Phụ kiện nệm
23392.0,8314,Chiếu
23394.0,8314,Võng
23576.0,23570,Sofa/ salon và phụ kiện
12590.0,23570,Bàn ghế phòng khách
23588.0,23570,Kệ & Tủ phòng khách
23592.0,23570,"Rèm, màn cửa"
23596.0,23570,Nội thất phòng khách khác
23374.0,23570,Đệm ngồi
23574.0,23570,Ghế thư giãn
68381.0,23570,Kệ đựng Tivi
68382.0,23570,Kệ/Tủ giày phòng khách
23600.0,23598,Bàn trang điểm
23540.0,23598,Ghế các loại
23622.0,23598,Tủ
23634.0,23598,Nội thất phòng ngủ khác
23630.0,23598,Gương
68383.0,23598,Giường và phụ kiện
23642.0,23636,Bàn ghế
23646.0,23636,Kệ & Tủ
23648.0,23636,Quầy bar
23652.0,23636,Nội thất phòng ăn khác
4381.0,23654,Bàn ghế làm việc
4380.0,23654,Bàn ghế học sinh
23656.0,23654,Bàn vi tính
23658.0,23654,"Tủ, kệ sách"
23660.0,23654,"Nội thất phòng học, làm việc khác"
23664.0,23662,Bàn cho trẻ em
23666.0,23662,Giường ngủ trẻ em
23668.0,23662,Ghế cho trẻ em
23670.0,23662,Thùng đựng đồ chơi
23672.0,23662,Nội thất trẻ em khác
68396.0,23662,Tủ quần áo trẻ em
,23678,
4613.0,3710,Giấy dán tường
23758.0,3710,Tranh dán tường
23780.0,23778,Decal dán kính
23782.0,23778,Giấy dán kính chống nắng
23784.0,23778,Phim cách nhiệt
23786.0,23778,Tranh dán kính
23796.0,23778,Giấy dán kính mờ
2140.0,1980,Đồng hồ để bàn
23726.0,1980,Tháp đồng hồ
2784.0,1980,Đồng hồ treo tường
27222.0,11222,Tranh gỗ
27224.0,11222,Tranh sơn dầu
27226.0,11222,Tranh sơn mài
27230.0,11222,Tranh canvas
27232.0,11222,Tranh thêu
27240.0,11222,Các loại tranh khác
68430.0,11222,Tranh acrylic
68431.0,11222,Tranh đá
68432.0,11222,Tranh in
68433.0,11222,Tranh màu nước
23800.0,23806,Nến trang trí & Phụ kiện
27212.0,23806,Mô hình & Tượng trang trí
27214.0,23806,Trang trí nhà cửa khác
68417.0,23806,Gương trang trí
68418.0,23806,Gương trang trí
23590.0,23806,Thảm trải sàn trang trí
23804.0,23806,Rèm trang trí
68505.0,23806,Phụ kiện dán tường trang trí
23102.0,5848,Linh vật phong thủy
23104.0,5848,Cây phong thủy
23112.0,5848,Vật phẩm phong thủy khác
68434.0,5848,Đá phong thủy
68435.0,5848,Tượng phong thủy
68436.0,5848,Vòng dây phong thủy
,2018,
67308.0,2019,Đèn ngủ cảm biến
67313.0,2019,Đèn ngủ để bàn
67314.0,2019,Đèn ngủ ốp trần/ốp tường
67315.0,2019,Đèn ngủ thả trần
67316.0,2019,Đèn ngủ treo tường
67304.0,23236,Đèn led/hắt
67305.0,23236,Đèn năng lượng mặt trời
67306.0,23236,Đèn trụ cổng
67307.0,23236,Đèn trụ sân vườn
67320.0,23238,Đèn âm trần
67321.0,23238,Đèn chùm/ Đèn thả trần
67322.0,23238,Đèn ốp trần
67323.0,23238,Đèn rọi ray
,23242,
,23246,
,2020,
67510.0,23802,Đèn xông bằng nến
67511.0,23802,Đèn xông tinh dầu điện
67512.0,23802,Nến tinh dầu
67513.0,23802,Phụ kiện xông tinh dầu
67514.0,23802,Tinh dầu xông
23404.0,5995,Áo mưa
23406.0,5995,Ô - Dù
23412.0,5995,Phụ kiện đi mưa
27180.0,3879,Vòi nước và phụ kiện tưới cây
68119.0,3879,Bay
68120.0,3879,Cào
68121.0,3879,Cưa cầm tay
68122.0,3879,Cuốc
68123.0,3879,Găng tay làm vườn
68124.0,3879,Kéo cắt cành
68125.0,3879,Kéo tỉa cây
68126.0,3879,Xẻng
27170.0,8316,Máy xịt rửa
27172.0,8316,Phụ kiện máy xịt rửa
23424.0,23422,Xích đu
23430.0,23422,Bàn ghế sân vườn
23432.0,23422,Ngoại thất sân vườn khác
23440.0,23422,Kệ trang trí cây
23442.0,23422,Ô dù sân vườn
8318.0,23422,Phụ kiện trang trí sân vườn
23436.0,23434,Bể bơi
23438.0,23434,Phụ kiện bể bơi
,23446,
23248.0,2685,Khăn tắm
23250.0,2685,Khăn mặt
23252.0,2685,Khăn tay
67922.0,2685,Khăn nén
27118.0,2339,Dép nhà tắm
