Title,Rating,Image URL
OtterBox Bundle: Commuter Series Case for iPhone 12 Pro Max - (BALLET WAY) + PopSockets PopGrip - (PETAL POWER),4.5 out of 5 stars,https://m.media-amazon.com/images/I/51PQp82+f9L._AC_SY300_SX300_.jpg
"ORIbox Privacy Glass Screen Protector for iPhone 12 Pro Max, 2 Packs Anty-Spy Anti-Bubble Tempered Glass Screen Protector""",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71ezjzDeHEL.__AC_SX300_SY300_QL70_ML2_.jpg
"Custom Tort Tortoiseshell Initials Name Case, Personalized Name Case, Designed ‎for iPhone 15 Plus, iPhone 14 Pro Max, iPhone 13 Mini, iPhone 12, 11, X/XS Max, ‎XR, 7/8‎",4.0 out of 5 stars,https://m.media-amazon.com/images/I/6154Cb3zhcL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox Symmetry Series+ Case with MagSafe for iPhone 12 PRO MAX (ONLY) Retail Packaging - Navy Captain Blue,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51QDPIj4+UL._AC_SY300_SX300_.jpg
"Twelve South BookBook for iPhone 15 Max | MagSafe Compatible Genuine Leather Wallet Case with Display Stand + Removable Stand-Alone Leather Accent Case, Brown",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71bRKjF-2aL.__AC_SX300_SY300_QL70_ML2_.jpg
Apple iPhone 15 Pro Max Clear Case with MagSafe ​​​​​​​,4.4 out of 5 stars,https://m.media-amazon.com/images/I/410gWbZgGcL.__AC_SY445_SX342_QL70_ML2_.jpg
LifeProof SEE SERIES Case with MagSafe for iPhone 13 Pro Max & iPhone 12 Pro Max - BLACK,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61ghgt0Y5uL.__AC_SX300_SY300_QL70_ML2_.jpg
"OtterBox iPhone 13 Pro Max and iPhone 12 Pro Max Symmetry Series+ Case - CHERRY ON TOP, ultra-sleek, snaps to MagSafe, raised edges protect camera & screen",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61tuGhby6JL.__AC_SX300_SY300_QL70_ML2_.jpg
"ORIbox Case Compatible with iPhone 12 pro max Case, Platinum Ultra Thin Black, Lightweight",4.5 out of 5 stars,https://m.media-amazon.com/images/I/71LQVmoDyqL.__AC_SX300_SY300_QL70_ML2_.jpg
Case-Mate Crossbody Phone Lanyard/Chain [Works with All Phones] Hands-Free Cell Phone Strap - Phone Charm - Neck Chain Holder for iPhone 15 Pro Max/ 14 Pro Max/ 13 Pro Max/ 12/ S24 Ultra - Beige Rope,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61s4avd74vL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox Defender Series Screenless Edition Case for iPhone 12 & iPhone 12 Pro (Only) - Case Only - Non-Retail Packaging - Baby Blue Jeans (Blue),4.8 out of 5 stars,https://m.media-amazon.com/images/I/71nHI9NLo6L.__AC_SX300_SY300_QL70_ML2_.jpg
"Speck Products Presidio Perfect-Clear Impact Geo iPhone iPhone 12 Pro Max Case, Clear/Rosy Pink",4.5 out of 5 stars,https://m.media-amazon.com/images/I/719LKDGa7DL.__AC_SX300_SY300_QL70_ML2_.jpg
Element Case Black Ops for iPhone 12/12 Pro- Black (EMT-322-247FW-01),3.0 out of 5 stars,https://m.media-amazon.com/images/I/71hUtW6ldqL.__AC_SX300_SY300_QL70_ML2_.jpg
Tech21 Evo Clear Compatible with MagSafe Case for iPhone 13 Pro Max -Transparent Phone Case with 12ft Multi-Drop Protection,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71JxJK6KLWL.__AC_SX300_SY300_QL70_ML2_.jpg
"USB C Cable, INIU (2-Pack 6.6ft) 100W PD 5A QC 4.0 Fast Charging USB C to USB C Cable, Nylon Braided Type C Data USB-C Cable for Samsung Galaxy S20+ S10 Note 10 iPad Pro MacBook Tablets LG Google etc.",4.7 out of 5 stars,https://m.media-amazon.com/images/I/814+BTS-INL._AC_SY300_SX300_.jpg
